#{"t_start": 1785313574.4047759, "env_id": "None"}
r,l,t
0.0,43,0.174626
0.0,43,0.325433
0.0,43,0.476323
0.0,43,0.678792
0.0,43,0.829549
0.0,43,0.980158
0.0,43,1.183631
0.0,43,1.335276
0.0,43,1.486777
0.0,43,1.689222
0.0,43,1.840046
0.0,43,1.990966
0.0,43,2.193563
0.0,43,2.344777
0.0,43,2.496194
0.0,43,2.698639
0.0,43,2.849743
0.0,43,3.000824
0.0,43,3.20363
0.0,43,3.354909
0.0,43,3.506199
0.0,43,3.708716
0.0,43,3.860238
0.0,43,4.011093
0.0,43,4.214369
0.0,43,4.366518
0.0,43,4.518523
0.0,43,4.7213
0.0,43,4.872792
0.0,43,5.024063
0.0,43,5.226436
0.0,43,5.377317
0.0,43,5.5279
0.0,43,5.729791
0.0,43,5.880459
0.0,43,6.031196
0.0,43,6.233605
0.0,43,6.384693
0.0,43,6.536225
0.0,43,6.739445
0.0,43,6.891006
0.0,43,7.042264
0.0,43,7.245286
0.0,43,7.397016
0.0,43,7.548645
0.0,43,7.751536
0.0,43,7.902844
0.0,43,8.053957
0.0,43,8.256454
0.0,43,8.407467
0.0,43,8.558457
0.0,43,8.760354
0.0,43,8.910974
0.0,43,9.061584
0.0,43,9.263336
0.0,43,9.414325
0.0,43,9.564717
0.0,43,9.767628
0.0,43,9.918956
0.0,43,10.070322
0.0,43,10.272515
0.0,43,10.422991
0.0,43,10.57378
0.0,43,10.7761
0.0,43,10.92687
0.0,43,11.077538
0.0,43,11.279294
0.0,43,11.429191
0.0,43,11.579424
0.0,43,11.783138
0.0,43,11.934477
0.0,43,12.085702
0.0,43,12.288068
0.0,43,12.438993
0.0,43,12.590469
0.0,43,12.793454
0.0,43,12.94459
0.0,43,13.095491
0.0,43,13.297718
0.0,43,13.44899
0.0,43,13.599958
0.0,43,13.803699
0.0,43,13.955211
0.0,43,14.106481
0.0,43,14.309348
0.0,43,14.46164
0.0,43,14.613279
0.0,43,14.815211
0.0,43,14.965812
0.0,43,15.116769
0.0,43,15.319166
0.0,43,15.470007
0.0,43,15.621089
0.0,43,15.824124
0.0,43,15.975637
0.0,43,16.127308
0.0,43,16.330643
0.0,43,16.4816
0.0,43,16.632449
0.0,43,16.835917
0.0,43,16.988203
0.0,43,17.139878
0.0,43,17.342145
0.0,43,17.49347
0.0,43,17.644789
0.0,43,17.848008
0.0,43,17.999984
0.0,43,18.151977
0.0,43,18.354609
0.0,43,18.505949
0.0,43,18.657564
0.0,43,18.886764
0.0,43,19.038042
0.0,43,19.18916
0.0,43,19.392014
0.0,43,19.543737
0.0,43,19.695122
0.0,43,19.898442
0.0,43,20.050584
0.0,43,20.20273
0.0,43,20.406444
0.0,43,20.558363
0.0,43,20.710337
0.0,43,20.914631
0.0,43,21.065556
0.0,43,21.216469
0.0,43,21.420697
0.0,43,21.57134
0.0,43,21.721877
0.0,43,21.924437
0.0,43,22.07596
0.0,43,22.227513
0.0,43,22.429707
0.0,43,22.580979
0.0,43,22.73243
0.0,43,22.934432
0.0,43,23.085308
0.0,43,23.236211
0.0,43,23.438817
0.0,43,23.590158
0.0,43,23.741229
0.0,43,23.943676
0.0,43,24.094616
0.0,43,24.245634
0.0,43,24.447829
