#{"t_start": 1785313616.9004493, "env_id": "None"}
r,l,t
0.0,43,0.187841
0.0,43,0.339005
0.0,43,0.490455
0.0,43,0.694057
0.0,43,0.846201
0.0,43,0.998057
0.0,43,1.201509
0.0,43,1.353086
0.0,43,1.504572
0.0,43,1.707248
0.0,43,1.858929
0.0,43,2.010592
0.0,43,2.2144
0.0,43,2.365182
0.0,43,2.516416
0.0,43,2.717733
0.0,43,2.868015
0.0,43,3.018332
0.0,43,3.220324
0.0,43,3.370515
0.0,43,3.520826
0.0,43,3.723144
0.0,43,3.87442
0.0,43,4.025279
0.0,43,4.22896
0.0,43,4.380504
0.0,43,4.532074
0.0,43,4.737221
0.0,43,4.887907
0.0,43,5.039102
0.0,43,5.242088
0.0,43,5.393643
0.0,43,5.545312
0.0,43,5.747693
0.0,43,5.898415
0.0,43,6.04946
0.0,43,6.251852
0.0,43,6.402927
0.0,43,6.553697
0.0,43,6.756149
0.0,43,6.907185
0.0,43,7.057929
0.0,43,7.26011
0.0,43,7.41061
0.0,43,7.561358
0.0,43,7.763493
0.0,43,7.913827
0.0,43,8.064435
0.0,43,8.267032
0.0,43,8.417679
0.0,43,8.568436
0.0,43,8.76992
0.0,43,8.920752
0.0,43,9.071342
0.0,43,9.274355
0.0,43,9.424996
0.0,43,9.575809
0.0,43,9.778864
0.0,43,9.929905
0.0,43,10.081186
0.0,43,10.284361
0.0,43,10.435421
0.0,43,10.586578
0.0,43,10.789702
0.0,43,10.941249
0.0,43,11.092565
0.0,43,11.295258
0.0,43,11.44652
0.0,43,11.597346
0.0,43,11.799887
0.0,43,11.951007
0.0,43,12.102673
0.0,43,12.304626
0.0,43,12.454937
0.0,43,12.604987
0.0,43,12.807889
0.0,43,12.959005
0.0,43,13.109959
0.0,43,13.3127
0.0,43,13.463785
0.0,43,13.614705
0.0,43,13.817432
0.0,43,13.969078
0.0,43,14.120601
0.0,43,14.323153
0.0,43,14.47396
0.0,43,14.625053
0.0,43,14.827384
0.0,43,14.978572
0.0,43,15.129629
0.0,43,15.332287
0.0,43,15.482968
0.0,43,15.634218
0.0,43,15.837193
0.0,43,15.987847
0.0,43,16.138422
0.0,43,16.341327
0.0,43,16.492893
0.0,43,16.644606
0.0,43,16.847606
0.0,43,16.999375
0.0,43,17.150576
0.0,43,17.353261
0.0,43,17.50449
0.0,43,17.655384
0.0,43,17.858952
0.0,43,18.010494
0.0,43,18.162083
0.0,43,18.364284
0.0,43,18.515678
0.0,43,18.666631
0.0,43,18.868855
0.0,43,19.019818
0.0,43,19.170889
0.0,43,19.373174
0.0,43,19.524354
0.0,43,19.675642
0.0,43,19.878863
0.0,43,20.030736
0.0,43,20.182641
0.0,43,20.385497
0.0,43,20.536695
0.0,43,20.688091
0.0,43,20.890019
