#{"t_start": 1784734100.3417082, "env_id": "None"}
r,l,t
0.0,43,0.618708
0.0,43,1.208734
0.0,43,1.849666
0.0,43,2.583655
0.0,43,3.132387
0.0,43,3.697817
0.0,43,4.483986
0.0,43,5.064991
0.0,43,5.630956
0.0,43,6.408263
0.0,43,7.031845
0.0,43,7.584918
0.0,43,8.307958
0.0,43,8.871187
0.0,43,9.433346
0.0,43,10.121621
0.0,43,10.590105
0.0,43,11.060234
0.0,43,11.703812
0.0,43,12.251472
0.0,43,12.831587
0.0,43,13.555568
0.0,43,14.118645
0.0,43,14.684575
0.0,43,15.432351
0.0,43,15.98046
0.0,43,16.513534
0.0,43,17.172736
0.0,43,17.657553
0.0,43,18.126689
0.0,43,18.860713
0.0,43,19.42487
0.0,43,19.980122
0.0,43,20.711475
0.0,43,21.259846
0.0,43,21.823565
0.0,43,22.550006
0.0,43,23.017536
0.0,43,23.485923
0.0,43,24.112746
0.0,43,24.631419
0.0,43,25.195703
0.0,43,25.927139
0.0,43,26.513793
0.0,43,27.087597
0.0,43,27.811735
0.0,43,28.379875
0.0,43,28.925766
0.0,43,29.640522
0.0,43,30.116813
0.0,43,30.618185
0.0,43,31.271919
0.0,43,31.816429
0.0,43,32.424268
0.0,43,33.169588
0.0,43,33.718353
0.0,43,34.283005
0.0,43,35.031359
0.0,43,35.595398
0.0,43,36.16045
0.0,43,36.882447
0.0,43,37.448821
0.0,43,38.043241
0.0,43,38.774937
0.0,43,39.344141
0.0,43,39.905339
0.0,43,40.731397
0.0,43,41.295226
0.0,43,41.876512
0.0,43,42.618253
0.0,43,43.207244
0.0,43,43.790785
0.0,43,44.541588
0.0,43,45.105349
0.0,43,45.677755
0.0,43,46.409394
0.0,43,46.957894
0.0,43,47.521196
0.0,43,48.268954
0.0,43,48.849933
0.0,43,49.414005
0.0,43,50.135799
0.0,43,50.702658
0.0,43,51.280936
0.0,43,52.01266
0.0,43,52.578256
0.0,43,53.125482
0.0,43,53.84947
0.0,43,54.319778
0.0,43,54.802602
0.0,43,55.463201
0.0,43,55.996503
0.0,43,56.576057
0.0,43,57.308517
0.0,43,57.922366
0.0,43,58.470336
0.0,43,59.206685
0.0,43,59.771238
0.0,43,60.337124
0.0,43,61.06903
0.0,43,61.634387
0.0,43,62.260453
0.0,43,63.009879
0.0,43,63.59447
0.0,43,64.138513
0.0,43,64.877668
0.0,43,65.496667
0.0,43,65.997443
0.0,43,66.622133
0.0,43,67.098458
0.0,43,67.684227
0.0,43,68.399376
0.0,43,68.98045
0.0,43,69.528452
0.0,43,70.171428
0.0,43,70.626775
0.0,43,71.111612
0.0,43,71.818023
0.0,43,72.428478
0.0,43,73.040388
0.0,43,73.758701
0.0,43,74.371147
0.0,43,75.006126
0.0,43,75.747288
0.0,43,76.311164
0.0,43,76.891047
0.0,43,77.608767
0.0,43,78.163169
0.0,43,78.664606
0.0,43,79.306056
0.0,43,79.762146
0.0,43,80.248619
0.0,43,80.994955
0.0,43,81.543182
0.0,43,82.113544
0.0,43,82.819293
0.0,43,83.378791
0.0,43,83.88043
0.0,43,84.5168
0.0,43,84.977795
0.0,43,85.518589
0.0,43,86.249418
0.0,43,86.815592
0.0,43,87.370976
0.0,43,88.093761
0.0,43,88.610784
0.0,43,89.079466
0.0,43,89.708223
0.0,43,90.209371
0.0,43,90.758089
0.0,43,91.480361
0.0,43,92.06582
0.0,43,92.625584
0.0,43,93.357081
0.0,43,93.890512
0.0,43,94.37477
0.0,43,95.002294
0.0,43,95.528752
0.0,43,96.084601
0.0,43,96.822232
0.0,43,97.371565
0.0,43,97.936421
0.0,43,98.640735
0.0,43,99.106657
0.0,43,99.574609
0.0,43,100.234218
0.0,43,100.847449
0.0,43,101.43602
0.0,43,102.167763
0.0,43,102.729105
0.0,43,103.303559
0.0,43,104.038656
0.0,43,104.608189
0.0,43,105.182152
0.0,43,105.907484
0.0,43,106.476926
0.0,43,107.041589
0.0,43,107.7727
0.0,43,108.353059
0.0,43,108.949088
0.0,43,109.680408
0.0,43,110.213166
0.0,43,110.6832
0.0,43,111.326053
0.0,43,111.845681
0.0,43,112.391086
0.0,43,113.14704
0.0,43,113.711125
0.0,43,114.294225
0.0,43,115.023288
0.0,43,115.572251
0.0,43,116.144339
0.0,43,116.874317
0.0,43,117.424653
0.0,43,118.067636
0.0,43,118.832032
0.0,43,119.380541
0.0,43,119.881179
0.0,43,120.604839
0.0,43,121.071984
0.0,43,121.590755
0.0,43,122.313654
0.0,43,122.918215
0.0,43,123.467528
0.0,43,124.194143
0.0,43,124.761522
0.0,43,125.33614
0.0,43,126.067437
0.0,43,126.631312
0.0,43,127.132962
0.0,43,127.765212
0.0,43,128.266102
0.0,43,128.761858
0.0,43,129.484613
0.0,43,130.050872
0.0,43,130.599107
0.0,43,131.336517
0.0,43,131.926307
0.0,43,132.475258
0.0,43,133.104316
0.0,43,133.58785
0.0,43,134.0886
0.0,43,134.79599
0.0,43,135.375198
0.0,43,135.941019
0.0,43,136.676581
0.0,43,137.254004
0.0,43,137.817768
0.0,43,138.559961
0.0,43,139.090107
0.0,43,139.590513
0.0,43,140.218335
0.0,43,140.703655
0.0,43,141.236155
0.0,43,141.999585
0.0,43,142.566607
0.0,43,143.129067
0.0,43,143.867115
0.0,43,144.416317
0.0,43,144.995368
0.0,43,145.713265
0.0,43,146.173804
0.0,43,146.658629
0.0,43,147.29507
0.0,43,147.828769
0.0,43,148.408815
0.0,43,149.149504
0.0,43,149.711781
0.0,43,150.260711
0.0,43,150.977129
0.0,43,151.541643
0.0,43,152.058137
