#{"t_start": 1784809310.424295, "env_id": "None"}
r,l,t
-4.542369,43,0.365592
-4.463181,43,0.690753
-4.490173,43,1.088446
-4.534575,43,1.661153
-4.395241,43,2.006551
-4.566673,43,2.389792
-4.522664,43,3.050278
-4.357158,43,3.489334
-4.426795,43,3.860738
-4.430918,43,4.404539
-4.494829,43,4.806388
-4.455815,43,5.221297
-4.502346,43,5.887535
-4.293341,43,6.303925
-4.440117,43,6.689339
-4.594417,43,7.375181
-4.472516,43,7.777371
-4.383364,43,8.253364
-4.514245,43,9.051726
-4.520271,43,9.491565
-4.461364,43,9.963414
-4.518862,43,10.621533
-4.468262,43,10.97285
-4.355847,43,11.380933
-4.593502,43,11.918904
-4.584451,43,12.270953
-4.597898,43,12.613977
-4.371222,43,13.155472
-4.546816,43,13.49564
-4.384611,43,13.829931
-4.331067,43,14.412516
-4.478216,43,14.811745
-4.37577,43,15.183937
-4.376392,43,15.719599
-4.555199,43,16.104376
-4.407798,43,16.494946
-4.445937,43,17.055338
-4.628703,43,17.405604
-4.54308,43,17.75181
-4.538172,43,18.306111
-4.460236,43,18.739976
-4.604272,43,19.084563
-4.396646,43,19.62599
-4.504577,43,19.96873
-4.490965,43,20.37004
-4.479672,43,20.95599
-4.451862,43,21.296467
-4.5679,43,21.670013
-4.514629,43,22.201302
-4.445074,43,22.549758
-4.562562,43,22.923976
-4.561153,43,23.505638
-4.310566,43,23.87114
-4.425696,43,24.233871
-4.525708,43,24.819114
-4.4578,43,25.18606
-4.494714,43,25.51497
-4.452631,43,26.060709
-4.591968,43,26.394614
-4.436411,43,26.750906
-4.334864,43,27.317402
-4.375936,43,27.752973
-4.398468,43,28.239827
-4.505368,43,29.005246
-4.54493,43,29.3639
-4.498777,43,29.781759
-4.435263,43,30.355486
-4.553743,43,30.706895
-4.490883,43,31.075068
-4.362508,43,31.688221
-4.497376,43,32.061826
-4.445261,43,32.419195
-4.444967,43,33.011165
-4.484678,43,33.39177
-4.422287,43,33.761704
-4.518495,43,34.423845
-4.47983,43,34.825033
-4.447111,43,35.172548
-4.489966,43,35.822302
-4.526104,43,36.287977
-4.631379,43,36.661775
-4.473646,43,37.289765
-4.445623,43,37.674285
-4.485226,43,38.063445
-4.571442,43,38.64638
-4.588229,43,38.992893
-4.487427,43,39.346195
-4.489848,43,39.933029
-4.441202,43,40.269147
-4.386601,43,40.628351
