#{"t_start": 1784809423.1761165, "env_id": "None"}
r,l,t
-4.51416,43,0.365804
-4.36528,43,0.760321
-4.599591,43,1.134263
-4.435829,43,1.84169
-4.567689,43,2.27386
-4.448739,43,2.638416
-4.435066,43,3.265877
-4.502363,43,3.598293
-4.543725,43,3.948506
-4.480648,43,4.518227
-4.573041,43,4.916465
-4.356848,43,5.293518
-4.407413,43,5.874308
-4.42596,43,6.357223
-4.411732,43,6.734613
-4.550392,43,7.289971
-4.4499,43,7.623144
-4.545113,43,8.032012
-4.531068,43,8.587006
-4.568839,43,8.970216
-4.334938,43,9.344095
-4.47897,43,9.912323
-4.441517,43,10.29215
-4.485714,43,10.699708
-4.54596,43,11.24749
-4.558261,43,11.59102
-4.410022,43,12.008079
-4.354644,43,12.511963
-4.496286,43,12.880066
-4.451332,43,13.221674
-4.431188,43,13.775906
-4.467549,43,14.159227
-4.412419,43,14.527926
-4.532155,43,15.116703
-4.348776,43,15.479013
-4.214869,43,15.828587
-4.48873,43,16.37269
-4.462195,43,16.719085
-4.47185,43,17.071633
-4.592183,43,17.615742
-4.448666,43,17.967732
-4.564354,43,18.313759
-4.365414,43,18.848862
-4.512846,43,19.198767
-4.521345,43,19.540238
-4.409141,43,20.056175
-4.33661,43,20.395377
-4.648881,43,20.747678
-4.419892,43,21.303577
-4.518121,43,21.683164
-4.533199,43,22.068084
-4.588476,43,22.623226
-4.394241,43,23.032419
-4.461596,43,23.419145
-4.427712,43,24.076142
-4.432861,43,24.429804
-4.483387,43,24.87053
-4.607927,43,25.509408
-4.555516,43,25.883528
-4.441085,43,26.260989
-4.517501,43,26.866634
-4.590266,43,27.248295
-4.33813,43,27.689544
-4.653516,43,28.403541
-4.492842,43,28.751838
-4.549306,43,29.123156
-4.591826,43,29.755153
-4.50214,43,30.126698
-4.501011,43,30.535306
-4.5278,43,31.096109
-4.495176,43,31.452548
-4.459838,43,31.819664
-4.57196,43,32.406477
-4.55337,43,32.761156
-4.479972,43,33.123172
-4.457411,43,33.688009
-4.512067,43,34.04969
-4.368926,43,34.380973
-4.547259,43,34.951293
-4.477868,43,35.465642
-4.309526,43,35.84193
-4.511976,43,36.451925
-4.522832,43,36.819231
-4.436561,43,37.214563
-4.490821,43,37.845378
-4.530951,43,38.237331
-4.592203,43,38.614944
-4.47296,43,39.158131
-4.491966,43,39.53066
-4.504353,43,39.880407
-4.555889,43,40.467571
-4.500019,43,40.83536
-4.374107,43,41.196926
-4.373334,43,41.774789
-4.559319,43,42.132457
-4.498383,43,42.509818
-4.609353,43,43.100536
-4.467034,43,43.533142
-4.584868,43,43.933201
-4.498393,43,44.548186
-4.557528,43,44.933757
-4.527131,43,45.297702
-4.505026,43,45.889827
-4.586277,43,46.258436
-4.571477,43,46.630561
-4.517406,43,47.230824
-4.55238,43,47.60435
-4.58614,43,47.967904
-4.491217,43,48.578641
-4.489442,43,48.956456
-4.435123,43,49.329959
-4.572989,43,49.877995
-4.595885,43,50.276016
-4.397166,43,50.627772
-4.346506,43,51.164737
-4.368421,43,51.543796
-4.467661,43,51.891027
-4.477493,43,52.474219
-4.568413,43,52.838222
-4.380659,43,53.172882
-4.551628,43,53.750704
-4.457704,43,54.115551
-4.571792,43,54.578304
-4.444642,43,55.106848
-4.392324,43,55.454626
-4.558268,43,55.831384
-4.526836,43,56.409189
-4.566351,43,56.760849
-4.437385,43,57.120512
-4.471081,43,57.691259
-4.559186,43,58.112606
-4.559356,43,58.464285
-4.460068,43,58.984657
-4.475321,43,59.326342
-4.576615,43,59.667972
-4.415422,43,60.204017
-4.583292,43,60.571837
-4.41009,43,60.921258
-4.392924,43,61.458674
-4.592408,43,61.815579
-4.451262,43,62.161215
-4.544737,43,62.747544
-4.464608,43,63.08804
-4.494937,43,63.428407
-4.397384,43,63.976145
-4.5061,43,64.32461
-4.584225,43,64.67988
-4.527118,43,65.225015
-4.498301,43,65.582392
-4.584438,43,65.950758
-4.601184,43,66.523032
-4.529985,43,66.86733
-4.471677,43,67.230634
-4.485187,43,67.785289
-4.528411,43,68.152208
-4.598999,43,68.494105
-4.551609,43,69.055982
-4.592048,43,69.424514
-4.628219,43,69.791263
-4.617169,43,70.341061
-4.600695,43,70.722946
-4.489296,43,71.059811
-4.566017,43,71.618384
-4.50917,43,71.973596
-4.536909,43,72.319525
-4.642566,43,72.863019
-4.577614,43,73.193909
-4.378964,43,73.576422
-4.448772,43,74.109312
-4.522093,43,74.450039
-4.600536,43,74.814261
-4.607448,43,75.360528
-4.615076,43,75.715065
-4.593144,43,76.075208
-4.569932,43,76.611726
-4.607637,43,76.981292
-4.593006,43,77.31667
-4.679705,43,77.898773
-4.627453,43,78.261398
-4.541424,43,78.614224
-4.625561,43,79.18458
-4.580214,43,79.532226
-4.615277,43,79.893098
-4.493026,43,80.446592
-4.569532,43,80.773769
-4.502472,43,81.121419
-4.458345,43,81.684813
-4.55938,43,82.04432
-4.562535,43,82.486216
-4.535953,43,83.075325
-4.656325,43,83.432611
-4.540368,43,83.804901
-4.391109,43,84.337199
-4.604427,43,84.715892
-4.575761,43,85.058199
-4.683835,43,85.595974
-4.510864,43,85.96872
-4.541099,43,86.318008
-4.438842,43,86.900491
-4.600517,43,87.23823
-4.524715,43,87.590871
-4.587015,43,88.142402
-4.558286,43,88.488724
-4.558363,43,88.893443
-4.603517,43,89.558815
-4.572695,43,89.913308
-4.461113,43,90.264849
-4.562929,43,90.812976
-4.523125,43,91.166803
-4.631759,43,91.513272
-4.560307,43,92.045129
-4.621676,43,92.390827
-4.642682,43,92.751117
-4.64096,43,93.372254
-4.570206,43,93.732128
-4.576875,43,94.111126
-4.545948,43,94.612186
-4.603744,43,94.937366
-4.604508,43,95.259818
-4.613236,43,95.809023
-4.528136,43,96.15345
-4.645528,43,96.483476
-4.589113,43,97.016966
-4.58254,43,97.364627
-4.635311,43,97.707948
-4.671562,43,98.277223
-4.641982,43,98.620754
-4.650774,43,98.981109
-4.577796,43,99.519023
-4.532564,43,99.862197
-4.61653,43,100.199133
-4.587617,43,100.704686
-4.622889,43,101.055096
-4.606089,43,101.369967
-4.668722,43,101.917598
-4.579338,43,102.287142
-4.55379,43,102.63201
-4.557915,43,103.286509
-4.589763,43,103.618354
-4.590655,43,104.017946
-4.635326,43,104.616773
-4.634916,43,104.999114
-4.569928,43,105.336696
-4.498757,43,105.890882
-4.629525,43,106.257032
-4.522916,43,106.617613
-4.62974,43,107.156196
-4.629478,43,107.49563
-4.666488,43,107.831422
-4.57634,43,108.355811
-4.517842,43,108.685793
-4.594236,43,109.034178
