#{"t_start": 1784809091.842481, "env_id": "None"}
r,l,t
-4.336579,43,0.408611
-4.482474,43,0.739668
-4.440236,43,1.067249
-4.420409,43,1.597223
-4.435449,43,1.941566
-4.551362,43,2.366649
-4.39729,43,2.869212
-4.527848,43,3.238723
-4.511705,43,3.566356
-4.591324,43,4.077989
-4.408394,43,4.411067
-4.441048,43,4.877472
-4.466947,43,5.467964
-4.396544,43,5.827107
-4.599472,43,6.199636
-4.555175,43,6.778234
-4.558995,43,7.14891
-4.400768,43,7.523026
-4.512244,43,8.086679
-4.532204,43,8.495174
-4.405042,43,8.834768
-4.380815,43,9.405819
-4.5101,43,9.772457
-4.476563,43,10.123628
-4.428147,43,10.660096
-4.617276,43,11.010687
-4.51622,43,11.363474
-4.470285,43,11.90873
-4.590998,43,12.263359
-4.459412,43,12.692079
-4.334014,43,13.297509
-4.542463,43,13.624421
-4.418495,43,13.972796
-4.4739,43,14.540192
-4.506874,43,14.885006
-4.602651,43,15.264863
-4.583377,43,15.933496
-4.511077,43,16.2497
-4.383925,43,16.664168
-4.488059,43,17.181546
-4.457024,43,17.526181
-4.435298,43,17.862427
-4.504479,43,18.398598
-4.490839,43,18.745216
-4.557361,43,19.092272
-4.532706,43,19.605574
-4.596537,43,19.945374
-4.478318,43,20.296291
-4.590627,43,20.813326
-4.398053,43,21.182185
-4.568164,43,21.563668
-4.521309,43,22.178653
-4.465649,43,22.621036
-4.589661,43,23.032517
-4.514093,43,23.662186
-4.364073,43,24.081918
-4.511133,43,24.479538
-4.569203,43,25.091369
-4.56394,43,25.513522
-4.34783,43,25.89734
-4.565336,43,26.540143
-4.604071,43,26.942485
-4.483788,43,27.373349
-4.513675,43,27.984564
-4.489005,43,28.428249
-4.486775,43,28.810553
-4.533791,43,29.453414
-4.520131,43,29.868343
-4.508231,43,30.270702
-4.579449,43,30.941433
-4.505604,43,31.284478
-4.533231,43,31.64632
-4.58146,43,32.275622
-4.423784,43,32.646526
-4.559056,43,33.019675
-4.631623,43,33.587989
-4.598359,43,33.916101
-4.320251,43,34.301151
-4.461936,43,34.937045
-4.53854,43,35.353501
-4.507598,43,35.710307
-4.3549,43,36.288572
-4.366046,43,36.650863
-4.286988,43,37.015328
-4.507668,43,37.580387
-4.629379,43,37.948904
-4.493753,43,38.311083
-4.527026,43,39.028407
-4.469389,43,39.380174
-4.5422,43,39.796142
-4.430297,43,40.348849
-4.461299,43,40.725906
-4.423635,43,41.126135
-4.379671,43,41.705849
-4.536314,43,42.054066
-4.531528,43,42.414953
-4.456987,43,42.979631
-4.668961,43,43.344683
-4.564547,43,43.728607
-4.477783,43,44.283163
-4.480015,43,44.645833
-4.450322,43,45.030457
-4.636678,43,45.635591
-4.55483,43,46.009782
-4.481279,43,46.361561
-4.577032,43,46.912098
-4.5919,43,47.262648
-4.499396,43,47.621079
-4.431342,43,48.202036
-4.563001,43,48.533164
-4.443871,43,48.912617
-4.515091,43,49.492033
-4.327461,43,49.848472
-4.51282,43,50.253401
-4.559646,43,50.797791
-4.443845,43,51.129265
-4.581037,43,51.473203
-4.473565,43,52.052166
-4.456842,43,52.423617
-4.456554,43,52.781821
-4.517792,43,53.349096
-4.568438,43,53.859653
-4.496974,43,54.181215
-4.498707,43,54.738281
-4.463088,43,55.082223
-4.522125,43,55.409605
-4.553718,43,55.957803
-4.530063,43,56.307967
-4.289356,43,56.638777
-4.571266,43,57.170031
-4.487535,43,57.520407
-4.419391,43,57.862583
-4.502826,43,58.433525
-4.50882,43,58.775539
-4.478412,43,59.1889
-4.483292,43,59.719187
-4.507478,43,60.064096
-4.486593,43,60.440636
-4.550436,43,60.964964
-4.418015,43,61.345249
-4.468826,43,61.684693
-4.561067,43,62.205322
-4.459197,43,62.554797
-4.481211,43,62.930154
-4.363049,43,63.497684
-4.551839,43,63.84147
-4.354372,43,64.202979
-4.423521,43,64.755457
-4.487755,43,65.101525
-4.494025,43,65.459089
-4.471325,43,65.97296
-4.444342,43,66.340415
-4.532622,43,66.704347
-4.442864,43,67.261884
-4.562989,43,67.60059
-4.473256,43,67.934669
-4.550273,43,68.479049
-4.407521,43,68.856682
-4.531992,43,69.274515
-4.521821,43,69.93732
-4.568274,43,70.317008
-4.508942,43,70.665255
-4.588189,43,71.286822
-4.516852,43,71.652624
-4.541479,43,72.001765
-4.389638,43,72.661625
-4.30928,43,73.06828
-4.452431,43,73.466944
-4.452017,43,74.102349
-4.481803,43,74.435568
-4.398145,43,74.779232
-4.480673,43,75.308236
-4.533448,43,75.653621
-4.509208,43,76.051534
-4.459119,43,76.578908
-4.431454,43,76.939899
-4.489247,43,77.274753
-4.500849,43,77.849452
-4.475948,43,78.244061
-4.579858,43,78.597912
-4.566574,43,79.180127
-4.5153,43,79.530089
-4.355426,43,79.87588
-4.613374,43,80.452454
-4.475678,43,80.796163
-4.619297,43,81.129984
-4.551114,43,81.655593
-4.47712,43,81.985583
-4.46241,43,82.333364
-4.611419,43,82.884304
-4.558944,43,83.246797
-4.574838,43,83.586721
-4.472295,43,84.223818
-4.506693,43,84.553747
-4.468481,43,84.917533
-4.531646,43,85.496329
-4.566595,43,85.852308
-4.436868,43,86.255423
-4.599046,43,86.768737
-4.585192,43,87.165763
-4.456842,43,87.564394
-4.594104,43,88.203382
-4.533444,43,88.596898
-4.469623,43,88.986426
-4.545306,43,89.666621
-4.568317,43,90.079859
-4.538751,43,90.462493
-4.508517,43,91.128873
-4.58209,43,91.541351
-4.453806,43,91.979202
-4.401457,43,92.650048
-4.514488,43,93.044624
-4.529568,43,93.454472
-4.546546,43,94.128861
-4.565962,43,94.54676
-4.470433,43,94.907521
-4.594063,43,95.440317
-4.614047,43,95.790086
-4.514408,43,96.141873
-4.474668,43,96.762362
-4.474975,43,97.106892
-4.548735,43,97.570714
-4.649526,43,98.132655
-4.528554,43,98.525226
-4.467454,43,98.922273
-4.516859,43,99.572498
-4.608236,43,100.02176
-4.627294,43,100.36655
-4.629176,43,100.940295
-4.667952,43,101.290464
-4.615667,43,101.645928
-4.604436,43,102.194765
-4.660473,43,102.638768
-4.644237,43,103.01693
-4.569693,43,103.641665
-4.531996,43,104.013412
-4.648193,43,104.39412
-4.542149,43,104.983843
-4.509241,43,105.297801
-4.588325,43,105.662005
-4.610488,43,106.173243
-4.585189,43,106.497848
-4.59579,43,106.845131
-4.548402,43,107.340933
-4.514608,43,107.669324
-4.546542,43,108.046873
-4.507104,43,108.549598
-4.516662,43,108.943622
-4.56443,43,109.280486
-4.455948,43,109.781829
-4.638473,43,110.134968
-4.480881,43,110.474622
