#{"t_start": 1784809202.5673945, "env_id": "None"}
r,l,t
-4.453114,43,0.353322
-4.567748,43,0.704276
-4.458377,43,1.034726
-4.414826,43,1.550932
-4.498123,43,1.89441
-4.459524,43,2.228289
-4.488053,43,2.74576
-4.431695,43,3.088895
-4.526811,43,3.419992
-4.264748,43,3.950749
-4.517597,43,4.313494
-4.478397,43,4.677036
-4.490749,43,5.219582
-4.480998,43,5.571624
-4.543142,43,5.916262
-4.507591,43,6.416568
-4.545142,43,6.791372
-4.584537,43,7.197131
-4.477212,43,7.718009
-4.558029,43,8.044571
-4.484691,43,8.393237
-4.554023,43,8.908952
-4.513443,43,9.279921
-4.414764,43,9.64943
-4.479705,43,10.16626
-4.517163,43,10.495023
-4.460084,43,10.842886
-4.612785,43,11.373836
-4.48464,43,11.721834
-4.537481,43,12.06662
-4.513933,43,12.579243
-4.510328,43,12.922826
-4.240911,43,13.259503
-4.409033,43,13.790277
-4.576596,43,14.124194
-4.389518,43,14.482333
-4.460018,43,14.981247
-4.512778,43,15.318878
-4.522008,43,15.653918
-4.52351,43,16.195616
-4.577167,43,16.551514
-4.575912,43,16.886332
-4.540907,43,17.390124
-4.381063,43,17.735803
-4.507367,43,18.074709
-4.454935,43,18.592849
-4.602709,43,18.922572
-4.371393,43,19.273343
-4.457748,43,19.790436
-4.43278,43,20.116866
-4.358646,43,20.478121
-4.404699,43,20.99045
-4.392694,43,21.328949
-4.547567,43,21.662313
-4.566721,43,22.185123
-4.449864,43,22.533394
-4.458995,43,22.861436
-4.563585,43,23.384088
-4.57806,43,23.730129
-4.512274,43,24.056611
-4.60925,43,24.597238
-4.482119,43,24.937716
-4.616105,43,25.262598
-4.412547,43,25.768501
-4.574634,43,26.094081
-4.493188,43,26.430047
-4.567161,43,26.9393
-4.506628,43,27.264759
-4.614579,43,27.594485
-4.444165,43,28.088508
-4.452026,43,28.432899
-4.645185,43,28.762727
-4.453155,43,29.324254
-4.518468,43,29.649644
-4.517157,43,29.988593
-4.536365,43,30.495895
-4.438796,43,30.84187
-4.364834,43,31.187171
-4.61138,43,31.681257
-4.487809,43,32.002125
-4.36546,43,32.339042
-4.441767,43,32.847238
-4.424232,43,33.191782
-4.460354,43,33.528377
-4.491959,43,34.04864
-4.557493,43,34.388742
-4.503976,43,34.720907
-4.489311,43,35.228053
-4.348945,43,35.598825
-4.343582,43,35.928165
-4.576784,43,36.434731
-4.552263,43,36.764436
-4.479715,43,37.100231
-4.45103,43,37.616904
-4.616617,43,37.97288
-4.433561,43,38.298652
-4.450025,43,38.846255
-4.628632,43,39.174494
-4.500538,43,39.522963
-4.431212,43,40.042043
-4.481385,43,40.374875
-4.563573,43,40.708941
-4.529198,43,41.2472
-4.506363,43,41.63005
-4.493814,43,41.944659
-4.56033,43,42.464759
-4.655884,43,42.792862
-4.485524,43,43.129527
-4.549707,43,43.63701
-4.566598,43,43.978685
-4.60629,43,44.312163
-4.603665,43,44.89656
-4.534674,43,45.230921
-4.551678,43,45.571233
-4.598801,43,46.081848
-4.4533,43,46.41664
-4.587441,43,46.762613
-4.675514,43,47.274918
-4.625073,43,47.614831
-4.479264,43,47.963434
-4.511892,43,48.475663
-4.494112,43,48.818287
-4.519742,43,49.149987
-4.569961,43,49.678868
-4.637749,43,50.007513
-4.634596,43,50.336545
-4.592873,43,50.843796
-4.625451,43,51.198398
-4.587127,43,51.539701
-4.623914,43,52.043848
-4.646098,43,52.37149
-4.583508,43,52.729924
-4.586517,43,53.254061
-4.659504,43,53.650264
-4.49625,43,54.012411
-4.622005,43,54.529933
-4.541692,43,54.876575
-4.511168,43,55.205873
-4.348941,43,55.757977
-4.546547,43,56.105026
-4.549517,43,56.438065
-4.59168,43,57.091356
-4.657092,43,57.444944
-4.492556,43,57.792536
-4.628192,43,58.292631
-4.679147,43,58.606043
-4.468912,43,58.937381
-4.526992,43,59.478268
-4.629555,43,59.847751
-4.52871,43,60.197469
-4.545908,43,60.859999
-4.589379,43,61.178773
-4.620634,43,61.506154
-4.555017,43,62.079642
-4.517539,43,62.411622
-4.615968,43,62.759718
-4.607948,43,63.386266
-4.521224,43,63.743064
-4.599514,43,64.109013
-4.550998,43,64.790661
-4.564,43,65.256629
-4.599656,43,65.689477
-4.522016,43,66.279914
-4.568812,43,66.710578
-4.576321,43,67.095405
-4.432775,43,67.661269
-4.605868,43,68.065343
-4.595088,43,68.460155
-4.573686,43,69.132838
-4.501418,43,69.590545
-4.605602,43,70.023957
-4.514578,43,70.685416
-4.556693,43,71.182009
-4.484086,43,71.5238
-4.561802,43,72.098139
-4.585129,43,72.468797
-4.549762,43,72.910504
-4.62092,43,73.482257
-4.507029,43,73.831065
-4.660092,43,74.269269
-4.574406,43,75.010166
-4.57852,43,75.399837
-4.597741,43,75.763305
-4.60103,43,76.324856
-4.59046,43,76.69865
-4.606451,43,77.09461
-4.632236,43,77.829187
-4.621482,43,78.21024
-4.628327,43,78.607366
-4.645504,43,79.261146
-4.517171,43,79.695572
-4.624641,43,80.083068
-4.60224,43,80.703289
-4.617073,43,81.074191
-4.512003,43,81.416913
-4.493049,43,82.014339
-4.614223,43,82.374292
-4.62125,43,82.767467
-4.59061,43,83.423182
-4.494145,43,83.755996
-4.571536,43,84.129659
-4.600576,43,84.724305
-4.538142,43,85.069078
-4.4274,43,85.426293
-4.644977,43,85.989765
-4.61831,43,86.343176
-4.56908,43,86.687465
-4.548732,43,87.286234
-4.566318,43,87.643175
-4.63671,43,88.024838
-4.638861,43,88.561188
-4.64877,43,88.926313
-4.656894,43,89.357093
-4.592902,43,90.015405
-4.638551,43,90.382019
-4.712232,43,90.781646
-4.59917,43,91.463525
-4.599973,43,91.847353
-4.624613,43,92.219242
-4.509752,43,92.792645
-4.544467,43,93.177928
-4.568216,43,93.515071
-4.629066,43,94.03183
-4.640944,43,94.38146
-4.568298,43,94.728408
-4.589022,43,95.338684
-4.492467,43,95.671498
-4.642212,43,96.027752
-4.446532,43,96.703242
-4.5449,43,97.100123
-4.636652,43,97.562429
-4.555511,43,98.254782
-4.654748,43,98.650008
-4.546691,43,99.028245
-4.665891,43,99.856695
-4.577219,43,100.272609
-4.62416,43,100.722161
-4.496795,43,101.350641
-4.69925,43,101.759915
-4.68373,43,102.172527
-4.463109,43,102.723188
-4.578274,43,103.111589
-4.511248,43,103.512677
-4.609387,43,104.216866
-4.598174,43,104.637944
-4.536536,43,105.019203
-4.541713,43,105.568643
-4.575391,43,105.907152
-4.650036,43,106.275425
-4.601166,43,106.86641
-4.621839,43,107.21411
-4.560007,43,107.56626
