#{"t_start": 1784721207.5876617, "env_id": "None"}
r,l,t
0.0,43,2.705589
0.0,43,3.184189
0.0,43,3.683248
0.0,43,4.473949
0.0,43,4.966053
0.0,43,5.483563
0.0,43,6.157199
0.0,43,6.66232
0.0,43,7.180649
0.0,43,7.91288
-0.0,43,8.539537
0.0,43,9.186937
0.0,43,9.943094
0.0,43,10.525487
0.0,43,11.14123
0.0,43,11.892868
-0.0,43,12.515129
0.0,43,13.126991
0.0,43,13.902615
0.0,43,14.515345
0.0,43,15.086729
0.0,43,15.863878
0.0,43,16.48862
0.0,43,17.104047
-0.0,43,17.868695
0.0,43,18.502248
0.0,43,19.098915
0.0,43,19.863454
0.0,43,20.486771
0.0,43,21.050903
0.0,43,21.812971
0.0,43,22.416179
0.0,43,23.078705
0.0,43,23.844964
0.0,43,24.438771
0.0,43,25.052304
0.0,43,25.809078
0.0,43,26.415911
0.0,43,26.995175
0.0,43,27.744272
0.0,43,28.339117
0.0,43,29.026877
0.0,43,29.810161
0.0,43,30.457918
0.0,43,31.071375
0.0,43,31.887941
0.0,43,32.578207
0.0,43,33.268127
0.0,43,34.061088
0.0,43,34.655296
0.0,43,35.283254
0.0,43,36.0699
0.0,43,36.721511
0.0,43,37.315193
0.0,43,38.084593
0.0,43,38.715023
0.0,43,39.326968
0.0,43,40.095098
0.0,43,40.746363
0.0,43,41.34718
0.0,43,42.126408
0.0,43,42.776356
0.0,43,43.409308
0.0,43,44.236337
0.0,43,44.861136
0.0,43,45.461472
0.0,43,46.298019
0.0,43,46.904309
0.0,43,47.530323
0.0,43,48.317389
0.0,43,48.931982
0.0,43,49.539939
0.0,43,50.29981
0.0,43,50.883673
0.0,43,51.4473
0.0,43,52.187654
0.0,43,52.79026
0.0,43,53.380377
0.0,43,54.176837
0.0,43,54.788247
0.0,43,55.403405
0.0,43,56.132004
0.0,43,56.711288
0.0,43,57.290956
0.0,43,58.015419
0.0,43,58.6429
0.0,43,59.210004
0.0,43,59.939405
0.0,43,60.519185
0.0,43,61.09832
0.0,43,61.823869
-0.0,43,62.428057
0.0,43,63.008023
0.0,43,63.768687
0.0,43,64.360131
0.0,43,64.944016
0.0,43,65.689672
0.0,43,66.267881
0.0,43,66.848743
-0.0,43,67.601523
0.0,43,68.231117
-0.0,43,68.835585
0.0,43,69.575858
0.0,43,70.140136
0.0,43,70.719734
0.0,43,71.452853
0.0,43,72.015914
-0.0,43,72.628457
0.0,43,73.390555
0.0,43,73.964942
0.0,43,74.561347
0.0,43,75.352531
0.0,43,75.952025
