#{"t_start": 1785419913.7781222, "env_id": "None"}
r,l,t
-0.0,43,0.182433
-0.0,43,0.332645
-0.0,43,0.482902
-0.0,43,0.686035
-0.0,43,0.836939
-0.0,43,0.987669
-0.0,43,1.191251
-0.0,43,1.341525
-0.0,43,1.491794
-0.0,43,1.693427
-0.0,43,1.843799
-0.0,43,1.994241
-0.0,43,2.195637
-0.0,43,2.345953
-0.0,43,2.496283
-0.0,43,2.701254
-0.0,43,2.851859
-0.0,43,3.002474
-0.0,43,3.204896
-0.0,43,3.355771
-0.0,43,3.507016
-0.0,43,3.708901
-0.0,43,3.859517
-0.0,43,4.010003
-0.0,43,4.212277
-0.0,43,4.363726
-0.0,43,4.515692
-0.0,43,4.717891
-0.0,43,4.868692
-0.0,43,5.019083
-0.0,43,5.221136
-0.0,43,5.371845
-0.0,43,5.522991
-0.0,43,5.724878
-0.0,43,5.875871
-0.0,43,6.026547
-0.0,43,6.228084
-0.0,43,6.378264
-0.0,43,6.528423
-0.0,43,6.730502
-0.0,43,6.881995
-0.0,43,7.033317
-0.0,43,7.23594
-0.0,43,7.387156
-0.0,43,7.53813
-0.0,43,7.74042
-0.0,43,7.89137
-0.0,43,8.042284
-0.0,43,8.245314
-0.0,43,8.397266
-0.0,43,8.549218
-0.0,43,8.751593
-0.0,43,8.902497
-1e-06,43,9.053388
-0.0,43,9.256023
-0.0,43,9.407437
-0.0,43,9.558686
-0.0,43,9.760584
-0.0,43,9.911485
-0.0,43,10.062111
-0.0,43,10.264141
-0.0,43,10.415002
-0.0,43,10.565855
-0.0,43,10.770145
-1e-06,43,10.921351
-0.0,43,11.073385
-0.0,43,11.276826
-1e-06,43,11.428071
-0.0,43,11.579374
-0.0,43,11.781914
-0.0,43,11.932863
-0.0,43,12.083877
-0.0,43,12.287049
-1e-06,43,12.438565
-0.0,43,12.590109
-1e-06,43,12.791919
-0.0,43,12.942782
-1e-06,43,13.093668
-0.0,43,13.295734
-0.0,43,13.446486
-0.0,43,13.596992
-0.0,43,13.799345
-0.0,43,13.950476
-0.0,43,14.101684
-0.0,43,14.304006
-0.0,43,14.454981
-0.0,43,14.605906
-0.0,43,14.807893
-0.0,43,14.958379
-0.0,43,15.10879
-0.0,43,15.311389
-0.0,43,15.461998
-0.0,43,15.612973
-0.0,43,15.815464
-0.0,43,15.966428
-0.0,43,16.117446
-0.0,43,16.320027
-0.0,43,16.470976
-0.0,43,16.621971
-0.0,43,16.823672
-0.0,43,16.97417
-0.0,43,17.124425
-0.0,43,17.326462
-0.0,43,17.476931
-0.0,43,17.6272
-0.0,43,17.832306
-0.0,43,17.984404
-0.0,43,18.136567
-0.0,43,18.339468
-0.0,43,18.491043
-0.0,43,18.642226
-1e-06,43,18.844614
-0.0,43,18.995697
-0.0,43,19.146732
-0.0,43,19.349123
-0.0,43,19.500299
-1e-06,43,19.651323
-0.0,43,19.853478
-0.0,43,20.004294
-0.0,43,20.154836
-0.0,43,20.356702
-0.0,43,20.507113
-0.0,43,20.658072
-0.0,43,20.860115
-0.0,43,21.010584
-0.0,43,21.161216
-1e-06,43,21.36345
-0.0,43,21.514461
-1e-06,43,21.665455
-0.0,43,21.867567
-0.0,43,22.018446
-0.0,43,22.169242
-1e-06,43,22.371599
-0.0,43,22.523137
-0.0,43,22.674119
-0.0,43,22.876548
-0.0,43,23.027393
-0.0,43,23.177944
-0.0,43,23.379556
-0.0,43,23.529772
-0.0,43,23.680117
-0.0,43,23.882563
-0.0,43,24.033131
-0.0,43,24.184048
-0.0,43,24.385971
-0.0,43,24.536725
-0.0,43,24.687316
-0.0,43,24.888701
-0.0,43,25.039017
-1e-06,43,25.189259
-0.0,43,25.391099
-0.0,43,25.541683
-0.0,43,25.691754
-0.0,43,25.893738
-0.0,43,26.044312
-0.0,43,26.197228
-0.0,43,26.399728
-0.0,43,26.550025
-0.0,43,26.70028
-0.0,43,26.902481
-0.0,43,27.05309
-0.0,43,27.203668
-1e-06,43,27.407353
-0.0,43,27.55835
-0.0,43,27.70909
-0.0,43,27.910975
-0.0,43,28.061646
-1e-06,43,28.212159
-0.0,43,28.414566
-1e-06,43,28.565394
-0.0,43,28.716267
-1e-06,43,28.917968
-0.0,43,29.068311
-0.0,43,29.219091
-1e-06,43,29.421033
-0.0,43,29.571421
-0.0,43,29.721871
-0.0,43,29.925157
-0.0,43,30.076971
-0.0,43,30.228733
-0.0,43,30.430617
-0.0,43,30.580978
-0.0,43,30.731635
-1e-06,43,30.933935
-0.0,43,31.084583
-0.0,43,31.235092
-0.0,43,31.437576
-0.0,43,31.588287
-0.0,43,31.740031
-0.0,43,31.942779
-0.0,43,32.093273
-0.0,43,32.243791
-1e-06,43,32.445774
-1e-06,43,32.595981
-1e-06,43,32.746122
-1e-06,43,32.949149
-0.0,43,33.100546
-0.0,43,33.251414
-0.0,43,33.453358
-0.0,43,33.604066
-0.0,43,33.754606
-0.0,43,33.957074
-0.0,43,34.107871
-1e-06,43,34.258575
-0.0,43,34.462357
-0.0,43,34.613026
-0.0,43,34.763717
-0.0,43,34.965556
-0.0,43,35.116222
-0.0,43,35.266934
-0.0,43,35.468695
-0.0,43,35.619086
-0.0,43,35.769676
-0.0,43,35.971728
-0.0,43,36.122687
-0.0,43,36.273366
-0.0,43,36.475765
-0.0,43,36.626987
-0.0,43,36.778527
-0.0,43,36.980615
-0.0,43,37.131661
-1e-06,43,37.281941
-0.0,43,37.484249
-1e-06,43,37.634782
-0.0,43,37.785389
-0.0,43,37.987634
-0.0,43,38.138529
-0.0,43,38.289379
-0.0,43,38.491466
-0.0,43,38.64205
-0.0,43,38.792316
-0.0,43,38.994478
-0.0,43,39.145948
-0.0,43,39.297169
-0.0,43,39.49931
-0.0,43,39.650295
-0.0,43,39.8011
-0.0,43,40.003521
-0.0,43,40.154414
-0.0,43,40.305321
-1e-06,43,40.507427
-0.0,43,40.658097
-0.0,43,40.809083
-0.0,43,41.01149
-0.0,43,41.162589
-0.0,43,41.313539
-0.0,43,41.515971
-0.0,43,41.666702
-0.0,43,41.817456
-0.0,43,42.020034
-0.0,43,42.171082
-0.0,43,42.321999
