#{"t_start": 1785419871.316706, "env_id": "None"}
r,l,t
-0.0,43,0.191301
-0.0,43,0.34259
-0.0,43,0.493788
-0.0,43,0.696509
-0.0,43,0.847363
-0.0,43,0.99807
-0.0,43,1.200332
-0.0,43,1.351234
-0.0,43,1.502339
-0.0,43,1.706447
-0.0,43,1.858339
-0.0,43,2.010219
-0.0,43,2.212719
-0.0,43,2.363274
-0.0,43,2.514073
-0.0,43,2.716861
-0.0,43,2.868156
-0.0,43,3.021485
-0.0,43,3.226998
-0.0,43,3.378171
-0.0,43,3.529479
-0.0,43,3.731848
-0.0,43,3.882389
-0.0,43,4.033092
-0.0,43,4.234776
-0.0,43,4.385324
-0.0,43,4.53572
-0.0,43,4.738028
-0.0,43,4.888824
-0.0,43,5.039503
-0.0,43,5.241416
-0.0,43,5.39314
-0.0,43,5.544344
-0.0,43,5.746267
-0.0,43,5.896501
-0.0,43,6.04664
-0.0,43,6.248505
-0.0,43,6.399244
-0.0,43,6.550093
-0.0,43,6.752473
-0.0,43,6.903862
-0.0,43,7.055047
-0.0,43,7.256706
-0.0,43,7.406666
-0.0,43,7.55656
-0.0,43,7.757852
-0.0,43,7.908546
-0.0,43,8.058606
-0.0,43,8.260675
-0.0,43,8.411325
-0.0,43,8.561729
-0.0,43,8.76382
-0.0,43,8.91416
-0.0,43,9.064458
-0.0,43,9.266579
-0.0,43,9.417525
-0.0,43,9.568609
-0.0,43,9.770724
-0.0,43,9.9213
-0.0,43,10.071793
-0.0,43,10.273915
-0.0,43,10.424499
-0.0,43,10.574972
-0.0,43,10.777361
-0.0,43,10.928289
-0.0,43,11.079156
-0.0,43,11.281285
-0.0,43,11.432045
-0.0,43,11.582886
-0.0,43,11.784483
-0.0,43,11.934495
-0.0,43,12.084229
-0.0,43,12.287132
-0.0,43,12.438417
-0.0,43,12.58961
-0.0,43,12.79312
-0.0,43,12.944411
-0.0,43,13.095217
-0.0,43,13.297652
-0.0,43,13.448389
-0.0,43,13.599362
-0.0,43,13.800759
-0.0,43,13.950942
-0.0,43,14.101032
-0.0,43,14.302902
-0.0,43,14.453435
-0.0,43,14.604072
-0.0,43,14.807105
-0.0,43,14.958468
-0.0,43,15.109515
-0.0,43,15.31235
-0.0,43,15.463544
-0.0,43,15.614635
-0.0,43,15.816643
-0.0,43,15.967016
-1e-06,43,16.118139
-0.0,43,16.320487
-0.0,43,16.47134
-0.0,43,16.622371
-0.0,43,16.82467
-0.0,43,16.975231
-0.0,43,17.125797
-0.0,43,17.32887
-0.0,43,17.480587
-0.0,43,17.632508
-0.0,43,17.835056
-0.0,43,17.985677
-0.0,43,18.136224
-0.0,43,18.338449
-1e-06,43,18.489252
-0.0,43,18.640099
-0.0,43,18.842879
-0.0,43,18.994148
-0.0,43,19.145196
-0.0,43,19.350964
-1e-06,43,19.502471
-0.0,43,19.653924
-0.0,43,19.858922
-0.0,43,20.009973
-1e-06,43,20.160965
-0.0,43,20.363165
-0.0,43,20.513984
-0.0,43,20.664538
-1e-06,43,20.866355
-0.0,43,21.017237
-0.0,43,21.167961
-0.0,43,21.369447
-0.0,43,21.519599
-0.0,43,21.669792
-1e-06,43,21.871338
-0.0,43,22.021341
-0.0,43,22.171142
-0.0,43,22.372962
-0.0,43,22.523714
-0.0,43,22.675526
-0.0,43,22.878144
-0.0,43,23.028652
-0.0,43,23.179318
-0.0,43,23.380807
-0.0,43,23.531043
-1e-06,43,23.681233
-0.0,43,23.882926
-0.0,43,24.033388
-0.0,43,24.183628
-0.0,43,24.385982
-0.0,43,24.537031
-0.0,43,24.687982
-1e-06,43,24.889695
-0.0,43,25.039855
-0.0,43,25.190125
-0.0,43,25.392861
-0.0,43,25.543939
-0.0,43,25.69508
-0.0,43,25.897991
-0.0,43,26.049042
-0.0,43,26.200016
-0.0,43,26.403265
-1e-06,43,26.554583
-0.0,43,26.706092
