#{"t_start": 1785419826.6315775, "env_id": "None"}
r,l,t
-0.0,43,2.0028
-0.0,43,2.153983
-0.0,43,2.306254
-0.0,43,2.775614
-0.0,43,2.926731
-0.0,43,3.080385
-0.0,43,3.285172
-0.0,43,3.438177
-0.0,43,3.590812
-0.0,43,3.797896
-0.0,43,3.950463
-0.0,43,4.103018
-0.0,43,4.307199
-0.0,43,4.459568
-0.0,43,4.61062
-0.0,43,4.813797
-0.0,43,4.965515
-0.0,43,5.119233
-0.0,43,5.323352
-0.0,43,5.474674
-0.0,43,5.62546
-0.0,43,5.827753
-0.0,43,5.978389
-0.0,43,6.129153
-0.0,43,6.333166
-0.0,43,6.485105
-0.0,43,6.636872
-0.0,43,6.843603
-0.0,43,6.995732
-0.0,43,7.147774
-0.0,43,7.352602
-0.0,43,7.503629
-0.0,43,7.657462
-0.0,43,7.861693
-0.0,43,8.014017
-0.0,43,8.166333
-0.0,43,8.368427
-0.0,43,8.518849
-0.0,43,8.671862
-0.0,43,8.875839
-0.0,43,9.027865
-0.0,43,9.179806
-0.0,43,9.382352
-0.0,43,9.535616
-0.0,43,9.687144
-0.0,43,9.891109
-0.0,43,10.042848
-0.0,43,10.194504
-0.0,43,10.397598
-0.0,43,10.548326
-0.0,43,10.699252
-0.0,43,10.90171
-0.0,43,11.052686
-0.0,43,11.204466
-0.0,43,11.40776
-0.0,43,11.559555
-0.0,43,11.711043
-0.0,43,11.914238
-0.0,43,12.066558
-0.0,43,12.218279
-0.0,43,12.420684
-0.0,43,12.571357
-0.0,43,12.722892
-0.0,43,12.925742
-0.0,43,13.07764
-0.0,43,13.229181
-0.0,43,13.432289
-0.0,43,13.583936
-0.0,43,13.735269
-0.0,43,13.938114
-0.0,43,14.091159
-0.0,43,14.243989
-0.0,43,14.449869
-0.0,43,14.602079
-0.0,43,14.754345
-0.0,43,14.957371
-0.0,43,15.108654
-0.0,43,15.262371
-0.0,43,15.466799
-0.0,43,15.61883
-0.0,43,15.770854
-0.0,43,15.973587
-0.0,43,16.124651
-0.0,43,16.275654
-0.0,43,16.480419
-0.0,43,16.632793
-0.0,43,16.785078
-0.0,43,16.987188
-0.0,43,17.137434
-0.0,43,17.287784
-0.0,43,17.49065
-0.0,43,17.641868
-0.0,43,17.792841
-0.0,43,17.9961
-0.0,43,18.147763
-0.0,43,18.299401
-0.0,43,18.501903
-0.0,43,18.653876
-0.0,43,18.805706
-0.0,43,19.008342
-0.0,43,19.160948
-0.0,43,19.31194
-0.0,43,19.51481
-0.0,43,19.667186
-0.0,43,19.818696
-0.0,43,20.0213
-0.0,43,20.172771
-0.0,43,20.324073
-0.0,43,20.527131
-0.0,43,20.678371
-0.0,43,20.829524
-0.0,43,21.032411
-0.0,43,21.183563
-0.0,43,21.335377
-0.0,43,21.539326
-0.0,43,21.691072
-0.0,43,21.842828
-0.0,43,22.044837
-0.0,43,22.195148
-0.0,43,22.345348
-0.0,43,22.548503
-0.0,43,22.702312
-0.0,43,22.853663
-0.0,43,23.057183
-0.0,43,23.208133
-0.0,43,23.359462
-0.0,43,23.562424
-0.0,43,23.714063
-0.0,43,23.865712
-0.0,43,24.069281
-0.0,43,24.221734
-0.0,43,24.373165
-0.0,43,24.576811
