#{"t_start": 1785419956.1864567, "env_id": "None"}
r,l,t
-0.0,43,0.176319
-0.0,43,0.326481
-0.0,43,0.476681
-0.0,43,0.680329
-0.0,43,0.832281
-0.0,43,0.983922
-0.0,43,1.186271
-0.0,43,1.337222
-0.0,43,1.487966
-0.0,43,1.690539
-0.0,43,1.841162
-0.0,43,1.99211
-0.0,43,2.194752
-0.0,43,2.345787
-0.0,43,2.496679
-0.0,43,2.699471
-0.0,43,2.850966
-0.0,43,3.002603
-0.0,43,3.205563
-0.0,43,3.357682
-0.0,43,3.509589
-0.0,43,3.711852
-0.0,43,3.863338
-0.0,43,4.014849
-0.0,43,4.217519
-0.0,43,4.368752
-0.0,43,4.520041
-0.0,43,4.721692
-0.0,43,4.872246
-0.0,43,5.023091
-0.0,43,5.225674
-0.0,43,5.376599
-0.0,43,5.527909
-0.0,43,5.730924
-0.0,43,5.882084
-0.0,43,6.033314
-0.0,43,6.236481
-0.0,43,6.387678
-0.0,43,6.538662
-0.0,43,6.741179
-0.0,43,6.89218
-0.0,43,7.042975
-0.0,43,7.246319
-0.0,43,7.39822
-0.0,43,7.550229
-0.0,43,7.753342
-0.0,43,7.904934
-0.0,43,8.056289
-0.0,43,8.258776
-0.0,43,8.410102
-0.0,43,8.561445
-0.0,43,8.765311
-0.0,43,8.916693
-0.0,43,9.067881
-0.0,43,9.270875
-0.0,43,9.422293
-0.0,43,9.573434
-0.0,43,9.776476
-0.0,43,9.928219
-0.0,43,10.079814
-0.0,43,10.283009
-0.0,43,10.434621
-1e-06,43,10.585894
-0.0,43,10.788372
-0.0,43,10.939752
-0.0,43,11.091079
-0.0,43,11.293861
-1e-06,43,11.445131
-0.0,43,11.596435
-0.0,43,11.799224
-0.0,43,11.950282
-0.0,43,12.101395
-0.0,43,12.304059
-0.0,43,12.455288
-0.0,43,12.606782
-0.0,43,12.81021
-0.0,43,12.961546
-0.0,43,13.113144
-0.0,43,13.316473
-0.0,43,13.468635
-0.0,43,13.620736
-0.0,43,13.823748
-0.0,43,13.975585
-0.0,43,14.127197
-0.0,43,14.330291
-0.0,43,14.481685
-0.0,43,14.633156
-0.0,43,14.835803
-0.0,43,14.987142
-0.0,43,15.138632
-0.0,43,15.341798
-0.0,43,15.493439
-0.0,43,15.645358
-0.0,43,15.85128
-0.0,43,16.003242
-1e-06,43,16.155081
-0.0,43,16.357131
-0.0,43,16.507801
-0.0,43,16.658545
-0.0,43,16.861776
-0.0,43,17.014043
-1e-06,43,17.166153
-1e-06,43,17.36931
-0.0,43,17.520944
-0.0,43,17.672638
-0.0,43,17.875593
-0.0,43,18.027125
-0.0,43,18.178356
-0.0,43,18.381084
-1e-06,43,18.532852
-1e-06,43,18.684313
-0.0,43,18.887281
-1e-06,43,19.038443
-0.0,43,19.189709
-0.0,43,19.392158
-1e-06,43,19.543253
-0.0,43,19.693984
-0.0,43,19.898369
-0.0,43,20.049152
-1e-06,43,20.199814
-0.0,43,20.403367
-0.0,43,20.554506
-0.0,43,20.705745
-1e-06,43,20.908154
-0.0,43,21.059025
-0.0,43,21.209991
-0.0,43,21.412403
-1e-06,43,21.563812
-0.0,43,21.715241
-0.0,43,21.917656
-0.0,43,22.068638
-0.0,43,22.219354
-0.0,43,22.421828
-0.0,43,22.572875
-0.0,43,22.724096
-0.0,43,22.926662
-0.0,43,23.077722
-0.0,43,23.228895
-1e-06,43,23.431748
-0.0,43,23.583287
-0.0,43,23.734685
-0.0,43,23.937901
-0.0,43,24.089332
-0.0,43,24.240623
-0.0,43,24.443326
-0.0,43,24.594831
-1e-06,43,24.746487
-0.0,43,24.94874
-0.0,43,25.099851
-0.0,43,25.250757
-0.0,43,25.454655
-0.0,43,25.606227
-0.0,43,25.757707
-1e-06,43,25.959992
-0.0,43,26.11091
-0.0,43,26.261656
-0.0,43,26.464245
-0.0,43,26.615779
-0.0,43,26.767014
-0.0,43,26.969303
-0.0,43,27.121404
-0.0,43,27.272541
-0.0,43,27.475058
-0.0,43,27.625982
-0.0,43,27.776622
-0.0,43,27.978833
-0.0,43,28.129786
-1e-06,43,28.280988
-1e-06,43,28.483571
-0.0,43,28.634857
-0.0,43,28.786126
-0.0,43,28.98806
-0.0,43,29.138873
-0.0,43,29.289411
-0.0,43,29.492658
-0.0,43,29.643822
-1e-06,43,29.795291
-0.0,43,29.998324
-0.0,43,30.149773
-1e-06,43,30.301395
-0.0,43,30.503646
-0.0,43,30.65479
-0.0,43,30.806341
-0.0,43,31.009447
-0.0,43,31.160707
-0.0,43,31.312257
-0.0,43,31.514856
-0.0,43,31.666043
-0.0,43,31.817562
-1e-06,43,32.020514
-0.0,43,32.17173
-0.0,43,32.322963
-0.0,43,32.525742
-0.0,43,32.676371
-0.0,43,32.827147
-1e-06,43,33.029911
