#{"t_start": 1785419998.6750064, "env_id": "None"}
r,l,t
-0.0,43,0.183992
-0.0,43,0.334429
-0.0,43,0.485065
-0.0,43,0.6883
-0.0,43,0.839968
-0.0,43,0.991528
-0.0,43,1.194864
-0.0,43,1.346686
-0.0,43,1.498802
-0.0,43,1.70129
-0.0,43,1.852195
-0.0,43,2.00287
-0.0,43,2.205851
-0.0,43,2.357482
-0.0,43,2.509171
-0.0,43,2.711666
-0.0,43,2.862614
-0.0,43,3.013433
-0.0,43,3.216608
-0.0,43,3.368397
-0.0,43,3.520224
-0.0,43,3.722589
-0.0,43,3.873725
-0.0,43,4.024881
-0.0,43,4.227741
-0.0,43,4.37882
-0.0,43,4.530394
-0.0,43,4.733073
-0.0,43,4.88401
-0.0,43,5.034906
-0.0,43,5.237184
-0.0,43,5.3883
-0.0,43,5.540035
-0.0,43,5.743416
-0.0,43,5.895492
-0.0,43,6.046999
-0.0,43,6.250277
-0.0,43,6.401523
-0.0,43,6.552848
-0.0,43,6.756227
-0.0,43,6.906964
-0.0,43,7.058011
-0.0,43,7.26164
-0.0,43,7.413886
-0.0,43,7.565803
-0.0,43,7.76883
-0.0,43,7.920323
-0.0,43,8.071787
-0.0,43,8.275099
-0.0,43,8.426694
-0.0,43,8.577929
-0.0,43,8.780938
-0.0,43,8.932976
-0.0,43,9.08497
-0.0,43,9.288812
-0.0,43,9.440023
-0.0,43,9.59119
-0.0,43,9.793593
-0.0,43,9.944396
-0.0,43,10.095217
-0.0,43,10.298251
-0.0,43,10.449982
-0.0,43,10.601902
-0.0,43,10.805136
-0.0,43,10.956901
-0.0,43,11.108276
-0.0,43,11.311431
-0.0,43,11.463016
-0.0,43,11.61472
-0.0,43,11.817933
-0.0,43,11.969546
-0.0,43,12.121133
-0.0,43,12.323822
-0.0,43,12.474962
-0.0,43,12.626307
-0.0,43,12.829303
-0.0,43,12.980657
-0.0,43,13.131781
-0.0,43,13.335213
-0.0,43,13.487177
-0.0,43,13.639084
-0.0,43,13.844258
-0.0,43,13.99567
-0.0,43,14.146766
-0.0,43,14.349818
-0.0,43,14.501154
-0.0,43,14.652416
-0.0,43,14.856911
-0.0,43,15.009352
-0.0,43,15.161687
-0.0,43,15.365608
-0.0,43,15.518017
-0.0,43,15.670297
-1e-06,43,15.874373
-0.0,43,16.027
-0.0,43,16.179585
-0.0,43,16.382877
-0.0,43,16.534694
-0.0,43,16.686251
-0.0,43,16.889124
-0.0,43,17.040431
-0.0,43,17.191835
-0.0,43,17.396733
-0.0,43,17.54893
-0.0,43,17.700999
-0.0,43,17.903771
-0.0,43,18.054537
-0.0,43,18.205519
-0.0,43,18.409682
-0.0,43,18.562345
-0.0,43,18.714821
-0.0,43,18.91817
-0.0,43,19.070087
-0.0,43,19.22219
-0.0,43,19.425838
-0.0,43,19.578061
-0.0,43,19.730157
-0.0,43,19.933386
-0.0,43,20.084937
-0.0,43,20.236238
-0.0,43,20.439202
-0.0,43,20.590864
-0.0,43,20.741984
-0.0,43,20.946955
-0.0,43,21.0983
-0.0,43,21.249619
-0.0,43,21.45267
-0.0,43,21.604167
-0.0,43,21.755445
-0.0,43,21.958709
-0.0,43,22.11024
-0.0,43,22.26167
-0.0,43,22.465156
-0.0,43,22.617049
-0.0,43,22.76871
-0.0,43,22.972056
-0.0,43,23.123977
-0.0,43,23.275857
-0.0,43,23.479067
-0.0,43,23.633147
-0.0,43,23.784683
-0.0,43,23.988974
-0.0,43,24.1405
-0.0,43,24.292266
-0.0,43,24.495781
-0.0,43,24.647436
-0.0,43,24.798975
-0.0,43,25.002223
-0.0,43,25.154266
-0.0,43,25.306146
-0.0,43,25.50926
-0.0,43,25.660796
-0.0,43,25.812155
-0.0,43,26.01511
-0.0,43,26.16658
-0.0,43,26.317895
-0.0,43,26.520163
-0.0,43,26.670937
-0.0,43,26.82163
-0.0,43,27.024072
-0.0,43,27.175333
-0.0,43,27.326895
-0.0,43,27.530646
-0.0,43,27.682829
-0.0,43,27.835123
-0.0,43,28.038609
-0.0,43,28.190305
-0.0,43,28.342186
-0.0,43,28.545124
-0.0,43,28.696081
-0.0,43,28.847242
-0.0,43,29.05048
-0.0,43,29.20182
-0.0,43,29.353181
-0.0,43,29.556321
-0.0,43,29.708006
-0.0,43,29.859729
-0.0,43,30.062508
-0.0,43,30.213703
-0.0,43,30.364832
-0.0,43,30.570307
-0.0,43,30.722059
-0.0,43,30.874053
-0.0,43,31.077644
-0.0,43,31.229648
-0.0,43,31.381633
-0.0,43,31.584768
-0.0,43,31.736528
-0.0,43,31.888273
-0.0,43,32.092373
-0.0,43,32.245143
-0.0,43,32.398702
-0.0,43,32.602724
-0.0,43,32.753595
-0.0,43,32.904661
-0.0,43,33.108104
-0.0,43,33.26019
-0.0,43,33.411971
-0.0,43,33.615221
-0.0,43,33.766622
-0.0,43,33.9178
-0.0,43,34.12044
-0.0,43,34.271673
-0.0,43,34.422606
-0.0,43,34.625055
-0.0,43,34.776099
-0.0,43,34.927161
-0.0,43,35.129981
-0.0,43,35.281118
-0.0,43,35.432389
-0.0,43,35.635592
-0.0,43,35.786971
-0.0,43,35.938396
-0.0,43,36.141018
-0.0,43,36.292154
-0.0,43,36.443155
-0.0,43,36.646204
-0.0,43,36.798062
-0.0,43,36.949305
-0.0,43,37.152442
-0.0,43,37.303977
-0.0,43,37.455633
-0.0,43,37.6605
-0.0,43,37.811976
-0.0,43,37.963329
-0.0,43,38.166447
-0.0,43,38.317642
-0.0,43,38.468983
-0.0,43,38.671767
-0.0,43,38.823477
-0.0,43,38.975059
-0.0,43,39.177364
-0.0,43,39.328416
-0.0,43,39.479497
-0.0,43,39.68275
-0.0,43,39.834614
-0.0,43,39.986573
-0.0,43,40.189227
-0.0,43,40.339948
-0.0,43,40.490615
-0.0,43,40.6934
-0.0,43,40.844888
-0.0,43,40.996186
-0.0,43,41.199718
-0.0,43,41.351076
-0.0,43,41.50256
-0.0,43,41.70711
-0.0,43,41.85983
-0.0,43,42.012535
-0.0,43,42.216264
-0.0,43,42.368226
-0.0,43,42.519761
